latitude,longitude,state,grid_key,acq_date,acq_time,model_predicted_class,prediction_confidence,heuristic_label,risk_score,risk_level,risk_score_api,frp,brightness,bright_t31,bright_ti4,bright_ti5,dist_industrial_zone_km,dist_power_plant_km,dist_quarry_km,dist_brick_kiln_km,dist_oil_gas_km,dist_waste_site_km,landcover_name,landcover_class,population_density,recurrence_score,recency_score,trend_score,stability_score,persistence_confidence,site_detection_count,top_shap_feature,top_shap_impact,risk_explanation,prob_Agricultural_Burning,prob_Brick_Kiln,prob_Industrial,prob_Mining_Extraction,prob_Other_Unknown,prob_Waste_Landfill,prob_Wildfire,scan,track,satellite,instrument,confidence,version,daynight,confidence_numeric,landcover_code,ndvi,nbr,sar_backscatter_delta,type,label_confidence
10.01406,78.08731,TamilNadu,1001_7809,2026-09-01,854.0,Agricultural Burning,0.8238,Other/Unknown,8.9,Low,0.332,3.52,332.78,297.7,332.78,297.7,4.995,19.168,6.9,45.628,124.98,63.539,Cropland,40.0,492.2283020019531,0.13070098600339122,4.3421168989444537e-13,,,0.5,2.0,recurrence_score,1.543,Classified as Agricultural Burning (82% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 33/100. Overall risk: 9/100.,0.8238,0.0,0.0,0.0,0.1761,0.0,0.0,0.58,0.7,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
10.03975,77.97247,TamilNadu,1004_7797,2026-08-28,828.0,Other/Unknown,0.9999,Other/Unknown,15.9,Low,0.35,5.07,338.0,304.45,338.0,304.45,11.54,18.106,4.996,57.243,116.989,53.127,,,,0.0,0.0,,,0.5,1.0,landcover_code,0.8734,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 39/100. Overall risk: 16/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.42,0.45,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,n/a
10.05289,77.95028,TamilNadu,1005_7795,2026-08-27,848.0,Other/Unknown,0.9999,Other/Unknown,19.7,Low,0.35,11.04,355.42,292.05,355.42,292.05,10.026,15.424,6.097,60.07,114.705,50.301,Tree cover,10.0,701.9544677734375,0.13070098600339122,2.632567406981942e-12,,,0.5,2.0,dist_industrial_zone_km,0.9876,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 54/100. Overall risk: 20/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.44,0.62,N21,VIIRS,n,2.0NRT,D,50.0,10.0,,,,0,n/a
10.04896,78.97438,TamilNadu,1005_7897,2026-08-31,731.0,Other/Unknown,0.9999,Other/Unknown,17.3,Low,0.35,8.45,339.72,301.32,339.72,301.32,20.044,30.639,34.053,70.661,103.715,43.393,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.41,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 49/100. Overall risk: 17/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.59,0.53,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,n/a
10.07835,77.31503,TamilNadu,1008_7732,2026-08-29,2046.0,Other/Unknown,0.9999,Other/Unknown,12.3,Low,0.35,0.23,295.94,281.68,295.94,281.68,10.991,33.526,7.192,100.121,98.292,8.14,Tree cover,10.0,261.8417663574219,0.13070098600339122,4.945481347442239e-17,,,0.5,2.0,dist_quarry_km,1.0922,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 4/100. Overall risk: 12/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.44,0.46,N21,VIIRS,n,2.0NRT,N,50.0,10.0,,,,0,n/a
10.1045,77.46542,TamilNadu,1010_7747,2026-08-30,2025.0,Other/Unknown,0.9999,Other/Unknown,14.1,Low,0.35,0.59,307.32,290.73,307.32,290.73,6.501,21.684,12.444,108.054,100.855,15.15,Tree cover,10.0,105.33490753173828,0.20715616162265582,4.945481347442239e-17,,,0.5,3.0,dist_industrial_zone_km,1.5241,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 10/100). Intensity score 10/100. Overall risk: 14/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.4,0.37,N21,VIIRS,n,2.0NRT,N,50.0,10.0,,,,0,n/a
10.26561,78.37807,TamilNadu,1027_7838,2026-08-31,2008.0,Other/Unknown,0.9999,Other/Unknown,13.0,Low,0.35,1.49,308.2,294.61,308.2,294.61,14.71,33.988,11.512,58.476,122.246,55.334,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.3609,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 20/100. Overall risk: 13/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.44,0.38,N21,VIIRS,n,2.0NRT,N,50.0,,,,,0,n/a
10.38894,79.17622,TamilNadu,1039_7918,2026-08-26,726.0,Agricultural Burning,0.7539,Other/Unknown,9.0,Low,0.325,5.0,330.34,292.83,330.34,292.83,26.261,34.357,38.307,61.447,61.27,55.182,Cropland,40.0,348.7404479980469,0.13070098600339122,3.3964309415154864e-09,,,0.5,2.0,recurrence_score,1.5392,Classified as Agricultural Burning (75% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 39/100. Overall risk: 9/100.,0.7539,0.0,0.0,0.0,0.246,0.0,0.0,0.37,0.58,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
10.3891,79.27283,TamilNadu,1039_7927,2026-09-01,714.0,Other/Unknown,1.0,Other/Unknown,23.8,Low,0.327,6.32,340.75,293.63,340.75,293.63,23.615,25.681,46.785,67.609,53.745,57.495,Cropland,40.0,439.9088134765625,0.337857147626047,8.236842632101639e-08,0.454476419914007,0.4036316929297389,1.0,6.0,landcover_code,0.8151,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 29/100). Intensity score 43/100. Overall risk: 24/100.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.59,0.7,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
10.40263,79.35952,TamilNadu,1040_7936,2026-08-29,809.0,Agricultural Burning,0.9022,Other/Unknown,9.3,Low,0.34,3.41,336.63,304.48,336.63,304.48,22.511,18.277,45.914,72.948,46.736,54.495,Cropland,40.0,688.086669921875,0.13070098600339122,6.242359416607783e-08,,,0.5,2.0,recurrence_score,1.5363,Classified as Agricultural Burning (90% confidence). low persistence / first-seen (persistence score 7/100). Intensity score 32/100. Overall risk: 9/100.,0.9022,0.0,0.0,0.0,0.0978,0.0,0.0,0.42,0.38,N21,VIIRS,n,2.0NRT,D,50.0,40.0,,,,0,n/a
10.41422,77.11642,TamilNadu,1041_7712,2026-08-31,2008.0,Wildfire,0.9997,Wildfire,25.0,Medium,0.333,2.48,320.12,290.43,320.12,290.43,15.6,17.954,42.105,57.1,81.373,43.513,Tree cover,10.0,81.80438232421875,0.26140197200678245,4.242942811910362e-13,0.4660937834124445,0.4142135623730951,1.0,4.0,landcover_code,3.2199,Classified as Wildfire (100% confidence). low persistence / first-seen (persistence score 27/100). Intensity score 27/100. Overall risk: 25/100.,0.0,0.0,0.0,0.0,0.0003,0.0,0.9997,0.51,0.41,N21,VIIRS,n,2.0NRT,N,50.0,10.0,,,,0,n/a
10.40814,79.51502,TamilNadu,1041_7952,2026-08-29,809.0,Other/Unknown,0.9999,Other/Unknown,15.8,Low,0.35,4.87,345.82,303.98,345.82,303.98,10.552,16.407,30.584,85.633,39.206,37.578,,,,0.0,0.0,,,0.5,1.0,landcover_code,1.1827,Classified as Other/Unknown (100% confidence). low persistence / first-seen (persistence score 0/100). Intensity score 38/100. Overall risk: 16/100.,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.43,0.38,N21,VIIRS,n,2.0NRT,D,50.0,,,,,0,n/a
